25.149	28.911	40.198	28.713	36.04	32.277	33.267	26.139	26.931	19.604	27.129	28.119	52.871	37.822	29.703	31.485	24.95	26.535	37.228	46.139	38.416	47.921	40.99	43.366	28.515	45.347	6.881	6.079	10.7	8.254	10.208	10.087	6.127	5.841	6.545	6.945	2.852	10.677	9.118	11.145	8.401	6.278	4.717	9.985	9.841	20.705	3.458	16.127	5.267	6.766	8.413	13.474
8.911	6.733	5.545	11.287	9.109	7.723	10.297	16.634	8.911	2.376	2.178	3.168	3.168	3.366	3.366	6.733	3.96	5.149	4.554	5.545	3.96	2.178	4.158	5.941	6.337	8.119	3.131	2.465	2.675	4.35	2.835	3.003	4.98	2.465	5.468	1.328	2.563	3.003	2.146	1.799	4.293	2.563	2.1	3.597	1.502	2.485	2.1	1.291	2.657	2.214	2.852	3.86
37.954	43.894	46.865	40.264	42.904	43.564	42.244	36.964	36.304	36.634	43.564	37.624	48.515	40.924	46.865	23.762	30.363	29.703	32.013	41.914	59.406	41.914	49.175	29.703	27.063	33.993	2.061	4.001	6.592	4.884	1.512	8.459	6.365	10.113	5.453	1.98	2.97	5.239	7.475	8.244	4.679	2.97	13.185	1.715	4.884	1.143	9.445	12.3	8.003	2.62	5.453	6.954
14.257	30.891	27.921	17.03	17.822	20	16.436	20.198	29.703	35.842	38.218	15.05	20.396	22.97	22.772	28.119	34.455	31.881	30.495	27.921	18.614	28.911	22.376	20.198	33.069	27.129	3.744	5.998	5.486	5.748	5.423	6.909	6.246	7.56	4.901	6.73	3.472	5.068	8.183	9.351	12.207	6.285	6.355	4.282	6.278	3.528	6.766	7.488	4.516	5.45	5.583	10.398
50.99	52.475	44.802	47.03	41.337	29.208	36.386	40.842	48.762	42.327	43.317	61.386	37.129	34.901	29.95	28.713	45.792	69.059	81.931	99.01	71.04	61.139	57.426	76.733	84.406	79.208	15.392	7.879	8.646	6.391	8.721	8.459	9.646	3.908	2.041	2.475	8.299	14.165	1.715	8.259	2.844	3.131	7.685	6.782	3.824	13.16	11.698	4.072	8.966	7.253	5.073	4.714
27.921	21.98	27.921	36.436	24.95	17.03	22.772	40.792	31.485	12.871	10.495	17.426	12.475	15.644	18.812	16.238	5.347	8.119	11.089	4.95	7.327	9.703	10.891	5.545	12.475	6.337	8.056	9.058	10.557	11.576	4.665	10.764	10.687	9.351	8.614	11.61	7.624	11.474	8.062	3.528	10.732	6.845	1.657	7.521	8.839	3.358	7.022	5.957	5.192	3.254	8.331	5.539
73.267	60.594	62.574	73.465	62.376	64.158	71.683	61.98	68.911	73.267	70.297	99.01	60	55.644	56.04	81.584	79.406	69.109	68.317	81.188	74.653	64.95	63.366	66.535	73.069	62.772	8.546	14.474	16.881	5.79	14.365	14.891	7.56	11.495	15.3	7.309	10.218	15.323	15.364	11.827	10.86	7.329	6.199	10.107	6.301	6.34	8.62	16.263	7.309	8.949	8.839	10.814
7.921	5.149	6.337	13.267	8.911	11.089	14.059	19.01	12.475	2.97	3.762	3.366	11.287	9.505	12.277	23.564	4.752	6.535	6.337	6.139	7.921	3.96	4.158	6.337	4.356	8.515	3.358	1.627	1.93	5.539	1.715	2.364	3.923	3.597	3.542	1.4	1.291	1.799	2.279	2.485	1.502	4.395	2.146	1.657	2.279	2.146	3.501	1.715	2.563	3.178	2.053	4.118
8.119	14.653	18.02	8.119	0.99	1.98	4.554	7.921	6.931	23.96	17.624	1.584	4.554	1.98	1.386	5.149	15.05	9.703	2.574	2.574	3.366	6.535	4.158	0.396	2.97	1.782	1.904	3.314	3.162	2.465	0	1.4	1.657	3.131	3.96	1.904	3.162	1.799	1.799	1.4	1.502	1.291	1.291	2.747	2.279	1.129	1.799	2.053	1.627	0.542	2.322	1.469
5.941	5.743	5.545	10.891	16.634	12.475	11.089	6.931	3.762	5.545	5.941	26.139	27.129	14.059	10.891	3.96	3.96	8.713	10.099	27.129	28.713	20.99	16.436	21.584	9.307	28.317	0.7	2.465	2.279	1.852	3.084	0.886	2.258	4.483	1.904	5.078	2.214	3.611	2.169	2.747	3.284	1.213	0.7	2.146	2.364	5.405	2.62	1.085	1.502	4.224	1.502	4.235
