m1c210r1.htb	54.79	34.983	7.525	64.95	72.871
m1c213r1.htb	28.71	22.574	7.723	46.931	55.644
m1c214r1.htb	22.28	24.356	19.604	37.426	81.188
m1c215r1.htb	20.96	19.142	3.96	26.238	28.218
m1c216r1.htb	11.49	6.535	5.743	13.267	68.515
m1c217r1.htb	22.18	20.396	7.129	36.238	71.683
m1c218r1.htb	42.87	45.05	41.584	60.297	101.683
m1c220r1.htb	1.56	0.99	11.056	7.426	48.845
m1c221r1.htb	0.71	0.424	0.424	3.253	8.911
m1c222r1.htb	14.85	8.581	16.172	15.182	48.515
m1c223r1.htb	0	0	2.97	14.356	46.535
m1c224r1.htb	1.58	4.554	0	10.297	20.792
m1c225r1.htb	1.78	1.386	2.574	7.327	19.208
m1c226r1.htb	2.57	2.376	0.198	15.347	43.762
m1c227r1.htb	4.55	6.139	22.178	21.287	84.406
m1c228r1.htb	2.18	0	0.594	2.772	39.208
m1c229r1.htb	2.97	1.65	0.99	7.591	43.564
m1c230r2.htb	79.54	51.485	34.653	85.149	102.97
m1c233r1.htb	6.93	5.198	7.673	13.267	49.505
m1c234r1.htb	20.59	10.891	10.099	31.287	102.97
m1c235r1.htb	1.19	0	0.248	3.168	7.723
m1c236r1.htb	23.64	20.085	4.95	36.775	51.202
m1c237r1.htb	9.68	18.812	3.465	30.297	54.785
m1c238r1.htb	4.16	2.376	2.97	7.525	21.782
m1c239r1.htb	34.16	13.465	15.446	29.901	60.99
m1c240r1.htb	5.74	11.485	8.317	26.139	62.97
m1c242r1.htb	0.33	0	1.65	22.772	47.525
m1c243r1.htb	15.05	16.436	3.168	32.673	58.02
m1c244r1.htb	3.37	1.98	1.98	8.168	17.228
m1c245r1.htb	10.73	6.601	3.3	18.482	20.462
m1c246r1.htb	14.26	12.871	17.822	21.584	41.089
m1c247r2.htb	29.9	22.97	25.347	49.901	85.347
m1c248r1.htb	4.16	4.752	1.188	10.495	54.653
m1c249r1.htb	4.62	3.168	0.165	9.703	22.97
m1c251r1.htb	14.71	9.571	7.096	18.812	41.089
m1c252r1.htb	18.42	17.162	9.653	35.644	43.317
m1c255r1.htb	4.55	1.98	0	8.911	24.752
m1c256r1.htb	7.92	2.772	0.396	10.396	50.495
m1c257r1.htb	16.12	13.614	11.634	25.248	70.297
m1c258r1.htb	6.51	1.188	3.135	11.551	25.743
m1c259r1.htb	23.02	9.571	11.551	75.248	153.96
m1c260r1.htb	20.4	14.851	18.02	25.149	48.119
m1c261r1.htb	2.26	3.135	2.805	16.997	41.584
m1c262r1.htb	4.36	10.099	6.733	27.129	46.733
m1c263r1.htb	32.18	19.472	13.366	42.244	92.822
m1c264r1.htb	3.76	3.168	1.782	11.089	21.782
m1c265r1.htb	49.17	56.766	86.139	80.594	131.881
m1c266r1.htb	16.63	12.376	6.188	26.733	59.901
m1c267r1.htb	11.39	8.911	13.366	17.492	39.934
m1c268r1.htb	10.3	8.119	9.505	17.822	31.485
m1c269r1.htb	3.96	2.376	0.99	15.05	66.139
m1c270r1.htb	13.47	6.535	8.713	13.663	22.178
m1c271r1.htb	19.06	5.446	7.673	21.04	25.248
m1c272r1.htb	9.5	3.96	2.772	19.01	18.614
m1c273r1.htb	13.2	6.436	2.97	21.535	37.376
m1c274r1.htb	32.11	21.287	7.591	46.04	145.686
m1c275r1.htb	0	1.815	6.931	11.315	33.333
m1c276r1.htb	10.1	4.356	0.396	19.406	53.861
m1c278r1.htb	34.65	25.545	8.515	40	57.822
